#,page,category,english_source,translation_ru,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,Балльная система Руководства по оценке нарушений 2012 года (§S11.4–S11.7) для SLU шейных и поясничных нервных корешков. Удобная для IME таблица со ссылками на источники для каждого результата.,,,,calculators.2012-impairment-guidelines-point-system
2,calculators.aww,citation,"§14(1) — 52-Week Divisor: For workers employed substantially the whole year, total gross earnings in the 52 weeks preceding the accident are divided by 52. This is the default method for full-time, full-year workers.","§14(1) — Делитель на 52 недели: Для работников, занятых практически весь год, общий валовой доход за 52 недели, предшествующие несчастному случаю, делится на 52. Это метод по умолчанию для работников с полной занятостью в течение всего года.",,,,calculators.aww.14-1-52-week-divisor
3,calculators.aww,citation,"§14(2) — Day-Based Multiplier: When the claimant did NOT work substantially the whole year, average annual earnings are computed by multiplying the average daily wage by a statutory multiplier based on the claimant's regular work schedule:","§14(2) — Множитель на основе дней: Когда заявитель НЕ отработал практически весь год, средний годовой доход рассчитывается путём умножения средней дневной заработной платы на установленный законом множитель, основанный на обычном графике работы заявителя:",,,,calculators.aww.14-2-day-based-multiplier
4,calculators.aww,citation,"§14 Multiplier (5-day worker): Average daily wage × 260 = average annual earnings, then ÷ 52 = AWW. Daily Wage = Total Earnings ÷ Days Worked. Then: Daily Wage × 260 ÷ 52 = AWW.","Множитель §14 (работник с 5-дневной неделей): Средняя дневная заработная плата × 260 = средний годовой доход, затем ÷ 52 = AWW. Дневная заработная плата = Общий доход ÷ Отработанные дни. Затем: Дневная заработная плата × 260 ÷ 52 = AWW.",,,,calculators.aww.14-multiplier-5-day-worker
5,calculators.aww,citation,§14 SUBD. 1,§14 ПОДРАЗД. 1,,,,calculators.aww.14-subd-1
6,calculators.aww,citation,§14 SUBD. 2,§14 ПОДРАЗД. 2,,,,calculators.aww.14-subd-2
7,calculators.aww,citation,"§14 Subdivision 1: When the claimant worked substantially the whole year, AWW = Total Earnings ÷ 52. This is the simplest method and applies to full-year, consistent employment.","§14, Подраздел 1: Когда заявитель отработал практически весь год, AWW = Общий доход ÷ 52. Это простейший метод, применимый к работе в течение полного года с постоянной занятостью.",,,,calculators.aww.14-subdivision-1-when-the
8,calculators.aww,citation,"Average Weekly Wage (AWW) is the foundation of all New York workers' compensation benefits. Under Workers' Compensation Law §14, AWW determines the compensation rate — two-thirds (2/3) of AWW, capped at the statutory maximum set annually by DFS.","Средняя недельная заработная плата (AWW) — основа всех выплат по компенсации работникам штата Нью-Йорк. Согласно Закону о компенсации работникам §14, AWW определяет ставку компенсации — две трети (2/3) от AWW, ограниченную установленным законом максимумом, устанавливаемым ежегодно DFS.",,,,calculators.aww.average-weekly-wage-aww-is
9,calculators.aww,citation,Calculate Average Weekly Wage under Workers' Compensation Law §14. Choose the applicable statutory method based on the claimant's work history.,Рассчитайте среднюю недельную заработную плату согласно Закону о компенсации работникам §14. Выберите применимый установленный законом метод на основе трудовой истории заявителя.,,,,calculators.aww.calculate-average-weekly-wage-under
10,calculators.aww,citation,"Concurrent Employment: Under §14, wages from all concurrent employment at the time of injury are combined. If the claimant held two jobs, both sets of wages are included — even if only one employer's work caused the injury.","Совмещённая занятость: Согласно §14, заработная плата от всей совмещённой занятости на момент травмы суммируется. Если заявитель работал на двух работах, учитывается заработная плата с обеих — даже если травма произошла только у одного работодателя.",,,,calculators.aww.concurrent-employment-under-14-wages
