#,page,category,english_source,translation_es,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,Sistema de puntos de las Guías de Deterioro de 2012 (§S11.4–S11.7) para SLU de raíz nerviosa cervical y lumbar. La tabla amigable para IME con citas en cada resultado.,,,,calculators.2012-impairment-guidelines-point-system
2,calculators.aww,citation,"§14(1) — 52-Week Divisor: For workers employed substantially the whole year, total gross earnings in the 52 weeks preceding the accident are divided by 52. This is the default method for full-time, full-year workers.","§14(1) — Divisor de 52 Semanas: Para trabajadores empleados sustancialmente durante todo el año, los ingresos brutos totales de las 52 semanas anteriores al accidente se dividen entre 52. Este es el método predeterminado para trabajadores de tiempo completo durante todo el año.",,,,calculators.aww.14-1-52-week-divisor
3,calculators.aww,citation,"§14(2) — Day-Based Multiplier: When the claimant did NOT work substantially the whole year, average annual earnings are computed by multiplying the average daily wage by a statutory multiplier based on the claimant's regular work schedule:","§14(2) — Multiplicador Basado en Días: Cuando el reclamante NO trabajó sustancialmente todo el año, las ganancias anuales promedio se calculan multiplicando el salario diario promedio por un multiplicador legal basado en el horario de trabajo regular del reclamante:",,,,calculators.aww.14-2-day-based-multiplier
4,calculators.aww,citation,"§14 Multiplier (5-day worker): Average daily wage × 260 = average annual earnings, then ÷ 52 = AWW. Daily Wage = Total Earnings ÷ Days Worked. Then: Daily Wage × 260 ÷ 52 = AWW.","Multiplicador §14 (trabajador de 5 días): Salario diario promedio × 260 = ingresos anuales promedio, luego ÷ 52 = AWW. Salario Diario = Ingresos Totales ÷ Días Trabajados. Luego: Salario Diario × 260 ÷ 52 = AWW.",,,,calculators.aww.14-multiplier-5-day-worker
5,calculators.aww,citation,§14 SUBD. 1,§14 SUBD. 1,,,,calculators.aww.14-subd-1
6,calculators.aww,citation,§14 SUBD. 2,§14 SUBD. 2,,,,calculators.aww.14-subd-2
7,calculators.aww,citation,"§14 Subdivision 1: When the claimant worked substantially the whole year, AWW = Total Earnings ÷ 52. This is the simplest method and applies to full-year, consistent employment.","§14 Subdivisión 1: Cuando el reclamante trabajó sustancialmente todo el año, AWW = Ingresos Totales ÷ 52. Este es el método más simple y se aplica al empleo constante durante todo el año.",,,,calculators.aww.14-subdivision-1-when-the
8,calculators.aww,citation,"Average Weekly Wage (AWW) is the foundation of all New York workers' compensation benefits. Under Workers' Compensation Law §14, AWW determines the compensation rate — two-thirds (2/3) of AWW, capped at the statutory maximum set annually by DFS.","El salario semanal promedio (Average Weekly Wage, AWW) es la base de todos los beneficios de compensación para trabajadores de Nueva York. Según la Ley de Compensación para Trabajadores §14, el AWW determina la tarifa de compensación — dos tercios (2/3) del AWW, con un tope máximo legal fijado anualmente por el DFS.",,,,calculators.aww.average-weekly-wage-aww-is
9,calculators.aww,citation,Calculate Average Weekly Wage under Workers' Compensation Law §14. Choose the applicable statutory method based on the claimant's work history.,"Calcule el salario semanal promedio (AWW) según la Ley de Compensación para Trabajadores, §14. Elija el método legal aplicable según el historial laboral del reclamante.",,,,calculators.aww.calculate-average-weekly-wage-under
10,calculators.aww,citation,"Concurrent Employment: Under §14, wages from all concurrent employment at the time of injury are combined. If the claimant held two jobs, both sets of wages are included — even if only one employer's work caused the injury.","Empleo Concurrente: Según el §14, se combinan los salarios de todos los empleos concurrentes al momento de la lesión. Si el reclamante tenía dos empleos, se incluyen ambos conjuntos de salarios — aunque el trabajo de solo un empleador haya causado la lesión.",,,,calculators.aww.concurrent-employment-under-14-wages
