#,page,category,english_source,translation_zh-Hans,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,针对颈椎和腰椎神经根 SLU 的 2012 年损伤指南评分系统（§S11.4–S11.7）。适合 IME 使用的图表，每项结果均附带引用依据。,,,,calculators.2012-impairment-guidelines-point-system
2,calculators.aww,citation,"§14(1) — 52-Week Divisor: For workers employed substantially the whole year, total gross earnings in the 52 weeks preceding the accident are divided by 52. This is the default method for full-time, full-year workers.",§14(1) — 52 周除数法：对于全年基本连续受雇的工人，将事故发生前 52 周内的总收入除以 52。这是全职、全年工作工人的默认计算方法。,,,,calculators.aww.14-1-52-week-divisor
3,calculators.aww,citation,"§14(2) — Day-Based Multiplier: When the claimant did NOT work substantially the whole year, average annual earnings are computed by multiplying the average daily wage by a statutory multiplier based on the claimant's regular work schedule:",§14(2) — 按天数计算的倍数法：当索赔人并非全年基本连续工作时，平均年收入的计算方式为：将日平均工资乘以根据索赔人常规工作安排确定的法定倍数：,,,,calculators.aww.14-2-day-based-multiplier
4,calculators.aww,citation,"§14 Multiplier (5-day worker): Average daily wage × 260 = average annual earnings, then ÷ 52 = AWW. Daily Wage = Total Earnings ÷ Days Worked. Then: Daily Wage × 260 ÷ 52 = AWW.",§14 倍数法（五天制工人）：日平均工资 × 260 = 平均年收入，再 ÷ 52 = AWW。 日工资 = 总收入 ÷ 工作天数。然后：日工资 × 260 ÷ 52 = AWW。,,,,calculators.aww.14-multiplier-5-day-worker
5,calculators.aww,citation,§14 SUBD. 1,§14 第1款,,,,calculators.aww.14-subd-1
6,calculators.aww,citation,§14 SUBD. 2,§14 第2款,,,,calculators.aww.14-subd-2
7,calculators.aww,citation,"§14 Subdivision 1: When the claimant worked substantially the whole year, AWW = Total Earnings ÷ 52. This is the simplest method and applies to full-year, consistent employment.",§14 第1款：当索赔人全年基本连续工作时，AWW = 总收入 ÷ 52。这是最简单的方法，适用于全年、稳定的雇佣关系。,,,,calculators.aww.14-subdivision-1-when-the
8,calculators.aww,citation,"Average Weekly Wage (AWW) is the foundation of all New York workers' compensation benefits. Under Workers' Compensation Law §14, AWW determines the compensation rate — two-thirds (2/3) of AWW, capped at the statutory maximum set annually by DFS.",平均周工资（AWW）是纽约州所有工伤赔偿福利的基础。依据《工伤赔偿法》§14，AWW 决定了赔偿费率 — 即 AWW 的三分之二（2/3），并以 DFS 每年设定的法定最高额为上限。,,,,calculators.aww.average-weekly-wage-aww-is
9,calculators.aww,citation,Calculate Average Weekly Wage under Workers' Compensation Law §14. Choose the applicable statutory method based on the claimant's work history.,根据《工伤赔偿法》§14 计算平均周工资。请根据索赔人的工作历史选择适用的法定方法。,,,,calculators.aww.calculate-average-weekly-wage-under
10,calculators.aww,citation,"Concurrent Employment: Under §14, wages from all concurrent employment at the time of injury are combined. If the claimant held two jobs, both sets of wages are included — even if only one employer's work caused the injury.",双重雇佣：依据 §14，受伤时所有同时受雇工作的工资将合并计算。如果索赔人当时有两份工作，两份工资都将计入 — 即使伤害只是由其中一个雇主的工作造成的。,,,,calculators.aww.concurrent-employment-under-14-wages
11,calculators.aww,eligibility citation,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. AWW calculations are based on current New York State Workers' Compensation Law §14 and Department of Financial Services regulations. The accuracy of results depends on the wages entered. Disputes over AWW may require detailed wage documentation and adjudication by the Workers' Compensation Board. Consult a qualified workers' compensation attorney for guidance on your specific case.,免责声明：本计算器仅供参考，不构成法律建议。AWW 的计算依据现行的《纽约州工伤赔偿法》§14 及金融服务部的相关规定。结果的准确性取决于所输入的工资数据。关于 AWW 的争议可能需要详细的工资证明文件，并由工伤赔偿委员会（Workers' Compensation Board）进行裁定。如需针对您具体案件的指导，请咨询合格的工伤赔偿律师。,,,,calculators.aww.disclaimer-this-calculator-is-provided
